SECTION,KEY,VALUE
SUMMARY,pdb,1K24
SUMMARY,chain,A
SUMMARY,n_ca,249
SUMMARY,rsa_thresh,0.220
SUMMARY,n_dirs,192
SUMMARY,pas_centres_A,1.0
SUMMARY,widen_step_A,0.250
SUMMARY,max_half_extra_A,1.500
SUMMARY,min_half_A,11.500
SUMMARY,max_half_A,13.500
SUMMARY,COM_x,30.403
SUMMARY,COM_y,-2.402
SUMMARY,COM_z,9.879
SUMMARY,Q_max,1.210
SUMMARY,best_center_A,-0.71
SUMMARY,best_half_A,13.50
SUMMARY,best_thickness_A,27.00
SUMMARY,best_normal_x,-0.706933
SUMMARY,best_normal_y,0.186345
SUMMARY,best_normal_z,0.682292
SUMMARY,d_in_A,-14.21
SUMMARY,d_out_A,12.79
SUMMARY,center_in_x,40.446
SUMMARY,center_in_y,-5.050
SUMMARY,center_in_z,0.186
SUMMARY,center_out_x,21.359
SUMMARY,center_out_y,-0.018
SUMMARY,center_out_z,18.607

SECTION,rank,Q,normal_x,normal_y,normal_z,center,half,d_in,d_out,is_best
DIRECTIONS,1,1.21023,-0.706933,0.186345,0.682292,-0.707,13.5,-14.207,12.793,1
DIRECTIONS,2,1.155912,-0.744858,0.382249,0.546875,-0.745,13.5,-14.245,12.755,0
DIRECTIONS,3,1.059913,0.709146,-0.4319,-0.557292,0.709,13.5,-12.791,14.209,0
DIRECTIONS,4,1.03987,-0.303933,0.432313,0.848958,-0.304,13.5,-13.804,13.196,0
DIRECTIONS,5,1.03987,0.312305,-0.465483,-0.828125,0.312,13.5,-13.188,13.812,0
DIRECTIONS,6,0.982976,-0.528048,0.367402,0.765625,-0.528,13.5,-14.028,12.972,0
DIRECTIONS,7,0.935928,0.510327,-0.032268,-0.859375,0.51,13.5,-12.99,14.01,0
DIRECTIONS,8,0.934231,0.753019,-0.150209,-0.640625,0.753,13.5,-12.747,14.253,0
DIRECTIONS,9,0.92628,-0.879273,0.109582,0.463542,-0.879,13.5,-14.379,12.621,0
DIRECTIONS,10,0.899748,-0.70262,0.58054,0.411458,-0.703,13.5,-14.203,12.797,0
DIRECTIONS,11,0.878495,-0.297951,-0.052703,0.953125,-0.298,13.5,-13.798,13.202,0
DIRECTIONS,12,0.878495,0.319972,0.094441,-0.942708,0.32,13.5,-13.18,13.82,0
DIRECTIONS,13,0.870096,0.857546,-0.294341,-0.421875,0.858,13.5,-12.642,14.358,0
DIRECTIONS,14,0.836809,0.521049,-0.498661,-0.692708,0.521,13.5,-12.979,14.021,0
DIRECTIONS,15,0.835514,0.57758,-0.253301,-0.776042,0.578,13.5,-12.922,14.078,0
DIRECTIONS,16,0.829733,-0.0254,-0.951276,-0.307292,-0.025,13.5,-13.525,13.475,0
DIRECTIONS,17,0.825101,-0.400919,0.165493,0.901042,-0.401,13.5,-13.901,13.099,0
DIRECTIONS,18,0.825101,0.332489,-0.24227,-0.911458,0.332,13.5,-13.168,13.832,0
DIRECTIONS,19,0.80745,0.331767,0.578978,0.744792,0.332,13.5,-13.168,13.832,0
DIRECTIONS,20,0.798826,-0.575141,0.023784,0.817708,-0.575,13.5,-14.075,12.925,0
DIRECTIONS,21,0.757865,0.681758,0.105311,-0.723958,0.682,13.5,-12.818,14.182,0
DIRECTIONS,22,0.736778,0.127029,0.739146,0.661458,0.127,13.5,-13.373,13.627,0
DIRECTIONS,23,0.730001,0.320659,0.787691,0.526042,0.321,13.5,-13.179,13.821,0
DIRECTIONS,24,0.728599,0.549292,-0.688216,-0.473958,0.549,13.5,-12.951,14.049,0
DIRECTIONS,25,0.719605,-0.074911,-0.961162,0.265625,-0.075,13.5,-13.575,13.425,0
DIRECTIONS,26,0.713179,0.862833,0.016839,-0.505208,0.863,13.5,-12.637,14.363,0
DIRECTIONS,27,0.692427,-0.901348,-0.207398,0.380208,-0.901,13.5,-14.401,12.599,0
DIRECTIONS,28,0.692427,0.903378,0.217167,-0.369792,0.903,13.5,-12.597,14.403,0
DIRECTIONS,29,0.686533,-0.361876,-0.731312,-0.578125,-0.362,13.5,-13.862,13.138,0
DIRECTIONS,30,0.676016,-0.438457,-0.696752,0.567708,-0.438,13.5,-13.938,13.062,0
DIRECTIONS,31,0.668144,0.500312,0.679632,-0.536458,0.5,13.5,-13.0,14.0,0
DIRECTIONS,32,0.662685,-0.193343,-0.572371,-0.796875,-0.193,13.5,-13.693,13.307,0
DIRECTIONS,33,0.660293,0.159134,-0.648045,-0.744792,0.159,13.5,-13.341,13.659,0
DIRECTIONS,34,0.650102,-0.527255,0.569947,0.630208,-0.527,13.5,-14.027,12.973,0
DIRECTIONS,35,0.650102,0.350008,-0.711447,-0.609375,0.35,13.5,-13.15,13.85,0
DIRECTIONS,36,0.643489,0.658926,0.68182,-0.317708,0.659,13.5,-12.841,14.159,0
DIRECTIONS,37,0.632717,-0.183679,-0.855361,0.484375,-0.184,13.5,-13.684,13.316,0
DIRECTIONS,38,0.618815,0.51694,0.284698,-0.807292,0.517,13.5,-12.983,14.017,0
DIRECTIONS,39,0.588903,-0.270479,0.646297,0.713542,-0.27,13.5,-13.77,13.23,0
DIRECTIONS,40,0.580415,-0.439392,0.749744,0.494792,-0.439,13.5,-13.939,13.061,0
DIRECTIONS,41,0.576165,-0.797363,-0.073899,0.598958,-0.797,13.5,-14.297,12.703,0
DIRECTIONS,42,0.575979,-0.426912,-0.247404,0.869792,-0.427,13.5,-13.927,13.073,0
DIRECTIONS,43,0.558695,-0.646634,-0.206294,0.734375,-0.647,13.5,-14.147,12.853,0
DIRECTIONS,44,0.533504,0.032677,0.89607,0.442708,0.033,13.5,-13.467,13.533,0
DIRECTIONS,45,0.516625,0.238066,0.921356,0.307292,0.238,13.5,-13.262,13.738,0
DIRECTIONS,46,0.501881,-0.240662,-0.669102,0.703125,-0.241,13.5,-13.741,13.259,0
DIRECTIONS,47,0.501881,0.220213,0.753236,-0.619792,0.22,13.5,-13.28,13.72,0
DIRECTIONS,48,0.494078,0.193204,0.944519,-0.265625,0.193,13.5,-13.307,13.693,0
DIRECTIONS,49,0.49252,-0.08185,-0.745502,-0.661458,-0.082,13.5,-13.582,13.418,0
DIRECTIONS,50,0.47247,0.753854,0.2921,-0.588542,0.754,13.5,-12.746,14.254,0
DIRECTIONS,51,0.464194,-0.287964,0.887652,0.359375,-0.288,13.5,-13.788,13.212,0
DIRECTIONS,52,0.459902,-0.890434,0.315374,0.328125,-0.89,13.5,-14.39,12.61,0
DIRECTIONS,53,0.445944,-0.632939,-0.642271,0.432292,-0.633,13.5,-14.133,12.867,0
DIRECTIONS,54,0.43924,0.059466,0.872837,-0.484375,0.059,13.5,-13.441,13.559,0
DIRECTIONS,55,0.438097,-0.215838,-0.870301,-0.442708,-0.216,13.5,-13.716,13.284,0
DIRECTIONS,56,0.428449,0.090868,-0.84559,-0.526042,0.091,13.5,-13.409,13.591,0
DIRECTIONS,57,0.423611,0.808387,-0.458,0.369792,0.808,13.5,-12.692,14.308,0
DIRECTIONS,58,0.421543,-0.027906,0.603499,0.796875,-0.028,13.5,-13.528,13.472,0
DIRECTIONS,59,0.419496,-0.929282,0.276609,-0.244792,-0.929,13.5,-14.429,12.571,0
DIRECTIONS,60,0.418643,0.081372,0.211622,-0.973958,0.081,13.5,-13.419,13.581,0
DIRECTIONS,61,0.410081,-0.146041,0.802772,0.578125,-0.146,13.5,-13.646,13.354,0
DIRECTIONS,62,0.399959,-0.438308,-0.546575,-0.713542,-0.438,13.5,-13.938,13.062,0
DIRECTIONS,63,0.39553,-0.129839,0.118944,0.984375,-0.13,13.5,-13.63,13.37,0
DIRECTIONS,64,0.391541,-0.388902,-0.852633,0.348958,-0.389,13.5,-13.889,13.111,0
DIRECTIONS,65,0.391541,0.372005,0.837125,-0.401042,0.372,13.5,-13.128,13.872,0
DIRECTIONS,66,0.385472,0.101929,0.0,0.994792,0.102,13.5,-13.398,13.602,0
DIRECTIONS,67,0.376466,-0.809131,0.44805,-0.380208,-0.809,13.5,-14.309,12.691,0
DIRECTIONS,68,0.355625,0.522063,0.758197,0.390625,0.522,13.5,-12.978,14.022,0
DIRECTIONS,69,0.353773,0.292592,-0.872813,-0.390625,0.293,13.5,-13.207,13.793,0
DIRECTIONS,70,0.346414,-0.39573,-0.474216,0.786458,-0.396,13.5,-13.896,13.104,0
DIRECTIONS,71,0.336202,-0.778103,-0.564231,-0.276042,-0.778,13.5,-14.278,12.722,0
DIRECTIONS,72,0.333068,-0.186637,-0.309837,-0.932292,-0.187,13.5,-13.687,13.313,0
DIRECTIONS,73,0.32742,-0.094673,0.96999,0.223958,-0.095,13.5,-13.595,13.405,0
DIRECTIONS,74,0.326804,-0.521709,-0.773737,-0.359375,-0.522,13.5,-14.022,12.978,0
DIRECTIONS,75,0.32468,-0.821414,-0.161886,-0.546875,-0.821,13.5,-14.321,12.679,0
DIRECTIONS,76,0.321543,0.731192,-0.592239,-0.338542,0.731,13.5,-12.769,14.231,0
DIRECTIONS,77,0.289131,0.264506,-0.946998,0.182292,0.265,13.5,-13.235,13.765,0
DIRECTIONS,78,0.287642,-0.642961,0.566332,-0.515625,-0.643,13.5,-14.143,12.857,0
DIRECTIONS,79,0.276935,0.011575,-0.474446,-0.880208,0.012,13.5,-13.488,13.512,0
DIRECTIONS,80,0.266364,-0.586812,-0.781058,0.213542,-0.587,13.5,-14.087,12.913,0
DIRECTIONS,81,0.262891,-0.093901,0.349306,0.932292,-0.094,13.5,-13.594,13.406,0
DIRECTIONS,82,0.260487,-0.756007,-0.649884,0.078125,-0.756,13.5,-14.256,12.744,0
DIRECTIONS,83,0.254514,-0.774265,-0.366939,0.515625,-0.774,13.5,-14.274,12.726,0
DIRECTIONS,84,0.251276,-0.99136,0.072401,-0.109375,-0.991,13.5,-14.491,12.509,0
DIRECTIONS,85,0.246993,-0.600116,-0.464764,0.651042,-0.6,13.5,-14.1,12.9,0
DIRECTIONS,86,0.245187,0.314735,0.57498,-0.755208,0.315,13.5,-13.185,13.815,0
DIRECTIONS,87,0.244005,-0.96953,-0.00946,0.244792,-0.97,13.5,-14.47,12.53,0
DIRECTIONS,88,0.240284,0.78076,0.616944,-0.098958,0.781,13.5,-12.719,14.281,0
DIRECTIONS,89,0.233706,0.003828,-0.784757,0.619792,0.004,13.5,-13.496,13.504,0
DIRECTIONS,90,0.230474,0.019822,-0.225859,0.973958,0.02,13.5,-13.48,13.52,0
DIRECTIONS,91,0.22651,0.298902,0.342702,-0.890625,0.299,13.5,-13.201,13.799,0
DIRECTIONS,92,0.211718,0.556927,0.488279,-0.671875,0.557,13.5,-12.943,14.057,0
DIRECTIONS,93,0.20526,0.723203,-0.64965,0.234375,0.723,13.5,-12.777,14.223,0
DIRECTIONS,94,0.204922,0.097885,-0.24901,-0.963542,0.098,13.5,-13.402,13.598,0
DIRECTIONS,95,0.203392,0.94503,-0.15767,0.286458,0.945,13.5,-12.555,14.445,0
DIRECTIONS,96,0.186502,0.428619,0.361241,0.828125,0.429,13.5,-13.071,13.929,0
DIRECTIONS,97,0.183164,0.532726,0.587252,0.609375,0.533,13.5,-12.967,14.033,0
DIRECTIONS,98,0.181866,0.643992,-0.488767,0.588542,0.644,13.5,-12.856,14.144,0
DIRECTIONS,99,0.174012,0.951848,-0.109207,-0.286458,0.952,13.5,-12.548,14.452,0
DIRECTIONS,100,0.16997,-0.629206,-0.5994,-0.494792,-0.629,13.5,-14.129,12.871,0
DIRECTIONS,101,0.164368,-0.138543,0.926841,-0.348958,-0.139,13.5,-13.639,13.361,0
DIRECTIONS,102,0.15595,-0.833039,0.518565,0.192708,-0.833,13.5,-14.333,12.667,0
DIRECTIONS,103,0.131056,0.917377,-0.368246,0.151042,0.917,13.5,-12.583,14.417,0
DIRECTIONS,104,0.127977,0.765232,-0.063398,0.640625,0.765,13.5,-12.735,14.265,0
DIRECTIONS,105,0.120889,0.875459,-0.438534,-0.203125,0.875,13.5,-12.625,14.375,0
DIRECTIONS,106,0.120132,-0.046698,0.709531,-0.703125,-0.047,13.5,-13.547,13.453,0
DIRECTIONS,107,0.116005,0.097972,-0.028125,-0.994792,0.098,13.5,-13.402,13.598,0
DIRECTIONS,108,0.114592,-0.076779,0.379804,-0.921875,-0.077,13.5,-13.577,13.423,0
DIRECTIONS,109,0.113844,-0.943784,-0.268579,-0.192708,-0.944,13.5,-14.444,12.556,0
DIRECTIONS,110,0.111502,-0.178596,-0.343875,0.921875,-0.179,13.5,-13.679,13.321,0
DIRECTIONS,111,0.109811,0.162793,0.212334,0.963542,0.163,13.5,-13.337,13.663,0
DIRECTIONS,112,0.10601,-0.287492,-0.948891,0.130208,-0.287,13.5,-13.787,13.213,0
DIRECTIONS,113,0.105641,0.800788,0.219463,0.557292,0.801,13.5,-12.699,14.301,0
DIRECTIONS,114,0.104615,-0.800677,-0.520367,0.296875,-0.801,13.5,-14.301,12.699,0
DIRECTIONS,115,0.102911,0.874382,0.424882,-0.234375,0.874,13.5,-12.626,14.374,0
DIRECTIONS,116,0.100589,-0.44858,0.612308,-0.651042,-0.449,13.5,-13.949,13.051,0
DIRECTIONS,117,0.099412,-0.56461,0.376707,-0.734375,-0.565,13.5,-14.065,12.935,0
DIRECTIONS,118,0.098081,0.293363,-0.791297,0.536458,0.293,13.5,-13.207,13.793,0
DIRECTIONS,119,0.097401,-0.01451,0.99138,-0.130208,-0.015,13.5,-13.515,13.485,0
DIRECTIONS,120,0.092342,-0.070017,-0.54032,0.838542,-0.07,13.5,-13.57,13.43,0
DIRECTIONS,121,0.092342,0.081788,0.538664,-0.838542,0.082,13.5,-13.418,13.582,0
DIRECTIONS,122,0.091924,0.742684,0.49305,-0.453125,0.743,13.5,-12.757,14.243,0
DIRECTIONS,123,0.091782,-0.626013,0.721092,-0.296875,-0.626,13.5,-14.126,12.874,0
DIRECTIONS,124,0.084777,-0.730906,0.015948,-0.682292,-0.731,13.5,-14.231,12.769,0
DIRECTIONS,125,0.082596,0.962475,0.17995,0.203125,0.962,13.5,-12.538,14.462,0
DIRECTIONS,126,0.079434,0.496995,-0.829376,-0.255208,0.497,13.5,-13.003,13.997,0
DIRECTIONS,127,0.070419,-0.592212,0.757024,0.276042,-0.592,13.5,-14.092,12.908,0
DIRECTIONS,128,0.068187,0.997208,-0.031495,0.067708,0.997,13.5,-12.503,14.497,0
DIRECTIONS,129,0.064519,0.126581,-0.907272,0.401042,0.127,13.5,-13.373,13.627,0
DIRECTIONS,130,0.064117,0.905471,0.046297,0.421875,0.905,13.5,-12.595,14.405,0
DIRECTIONS,131,0.056621,-0.229185,0.790684,-0.567708,-0.229,13.5,-13.729,13.271,0
DIRECTIONS,132,0.044798,-0.157618,-0.0785,-0.984375,-0.158,13.5,-13.658,13.342,0
DIRECTIONS,133,0.040664,0.281492,-0.179062,0.942708,0.281,13.5,-13.219,13.781,0
DIRECTIONS,134,0.039085,0.638414,0.335533,0.692708,0.638,13.5,-12.862,14.138,0
DIRECTIONS,135,0.037617,0.515537,0.837252,-0.182292,0.516,13.5,-12.984,14.016,0
DIRECTIONS,136,0.034399,0.418318,-0.416282,0.807292,0.418,13.5,-13.082,13.918,0
DIRECTIONS,137,0.03333,0.400579,-0.622993,0.671875,0.401,13.5,-13.099,13.901,0
DIRECTIONS,138,0.027728,-0.271843,0.132869,-0.953125,-0.272,13.5,-13.772,13.228,0
DIRECTIONS,139,0.022613,0.717864,0.509937,0.473958,0.718,13.5,-12.782,14.218,0
DIRECTIONS,140,0.016873,0.445216,-0.837165,0.317708,0.445,13.5,-13.055,13.945,0
DIRECTIONS,141,0.013265,-0.791892,0.58893,-0.161458,-0.792,13.5,-14.292,12.708,0
DIRECTIONS,142,0.004067,0.142036,0.452834,0.880208,0.142,13.5,-13.358,13.642,0
DIRECTIONS,143,0.001863,-0.664049,-0.402339,-0.630208,-0.664,13.5,-14.164,12.836,0
DIRECTIONS,144,-0.005565,0.192739,-0.411872,0.890625,0.193,13.5,-13.307,13.693,0
DIRECTIONS,145,-0.008648,-0.358641,-0.906212,-0.223958,-0.359,13.5,-13.859,13.141,0
DIRECTIONS,146,-0.011243,-0.875375,0.137284,-0.463542,-0.875,13.5,-14.375,12.625,0
DIRECTIONS,147,-0.016557,-0.431151,0.79198,-0.432292,-0.431,13.5,-13.931,13.069,0
DIRECTIONS,148,-0.024781,-0.428363,0.892597,0.140625,-0.428,13.5,-13.928,13.072,0
DIRECTIONS,149,-0.025972,0.706546,0.660047,0.255208,0.707,13.5,-12.793,14.207,0
DIRECTIONS,150,-0.026132,-0.92365,-0.347566,0.161458,-0.924,13.5,-14.424,12.576,0
DIRECTIONS,151,-0.037566,-0.559377,0.135834,-0.817708,-0.559,13.5,-14.059,12.941,0
DIRECTIONS,152,-0.039641,0.577809,-0.678833,0.453125,0.578,13.5,-12.922,14.078,0
DIRECTIONS,153,-0.041713,0.626234,-0.289336,0.723958,0.626,13.5,-12.874,14.126,0
DIRECTIONS,154,-0.042048,-0.942886,-0.057439,-0.328125,-0.943,13.5,-14.443,12.557,0
DIRECTIONS,155,-0.055516,0.86622,0.367495,0.338542,0.866,13.5,-12.634,14.366,0
DIRECTIONS,156,-0.055991,0.499419,-0.109796,0.859375,0.499,13.5,-13.001,13.999,0
DIRECTIONS,157,-0.071075,0.38643,0.141123,0.911458,0.386,13.5,-13.114,13.886,0
DIRECTIONS,158,-0.071587,0.854083,0.506154,0.119792,0.854,13.5,-12.646,14.354,0
DIRECTIONS,159,-0.071868,-0.608923,-0.207438,-0.765625,-0.609,13.5,-14.109,12.891,0
DIRECTIONS,160,-0.076339,-0.24952,0.564998,-0.786458,-0.25,13.5,-13.75,13.25,0
DIRECTIONS,161,-0.076868,-0.342074,0.355595,-0.869792,-0.342,13.5,-13.842,13.158,0
DIRECTIONS,162,-0.07879,-0.835529,-0.364134,-0.411458,-0.836,13.5,-14.336,12.664,0
DIRECTIONS,163,-0.080742,-0.431018,-0.048446,-0.901042,-0.431,13.5,-13.931,13.069,0
DIRECTIONS,164,-0.084047,-0.746018,0.291042,-0.598958,-0.746,13.5,-14.246,12.754,0
DIRECTIONS,165,-0.089528,0.824691,-0.254261,0.505208,0.825,13.5,-12.675,14.325,0
DIRECTIONS,166,-0.090872,0.949566,0.313177,-0.015625,0.95,13.5,-12.55,14.45,0
DIRECTIONS,167,-0.101535,0.983372,0.100825,-0.151042,0.983,13.5,-12.517,14.483,0
DIRECTIONS,168,-0.107166,-0.348519,0.912652,-0.213542,-0.349,13.5,-13.849,13.151,0
DIRECTIONS,169,-0.114472,-0.411419,-0.331668,-0.848958,-0.411,13.5,-13.911,13.089,0
DIRECTIONS,170,-0.12138,0.328894,0.943203,-0.046875,0.329,13.5,-13.171,13.829,0
DIRECTIONS,171,-0.129193,0.625049,0.084099,0.776042,0.625,13.5,-12.875,14.125,0
DIRECTIONS,172,-0.169049,0.143867,-0.639502,0.755208,0.144,13.5,-13.356,13.644,0
DIRECTIONS,173,-0.189336,-0.972852,0.203949,0.109375,-0.973,13.5,-14.473,12.527,0
DIRECTIONS,174,-0.191735,0.445497,0.87863,0.171875,0.445,13.5,-13.055,13.945,0
DIRECTIONS,175,-0.200567,-0.658023,-0.739751,-0.140625,-0.658,13.5,-14.158,12.842,0
DIRECTIONS,176,-0.208223,0.185768,-0.967445,-0.171875,0.186,13.5,-13.314,13.686,0
DIRECTIONS,177,-0.235453,-0.54734,0.833256,-0.078125,-0.547,13.5,-14.047,12.953,0
DIRECTIONS,178,-0.243794,-0.714502,0.697284,0.057292,-0.715,13.5,-14.215,12.785,0
DIRECTIONS,179,-0.244161,-0.989386,-0.142961,0.026042,-0.989,13.5,-14.489,12.511,0
DIRECTIONS,180,-0.244793,-0.879162,-0.473067,-0.057292,-0.879,13.5,-14.379,12.621,0
DIRECTIONS,181,-0.277359,0.967186,-0.244881,-0.067708,0.967,13.5,-12.533,14.467,0
DIRECTIONS,182,-0.282661,0.055874,-0.997337,0.046875,0.056,13.5,-13.444,13.556,0
DIRECTIONS,183,-0.284865,-0.911531,0.410407,-0.026042,-0.912,13.5,-14.412,12.588,0
DIRECTIONS,184,-0.291591,0.681268,-0.722167,-0.119792,0.681,13.5,-12.819,14.181,0
DIRECTIONS,185,-0.306192,0.826291,-0.563027,0.015625,0.826,13.5,-12.674,14.326,0
DIRECTIONS,186,-0.339997,0.580221,-0.808425,0.098958,0.58,13.5,-12.92,14.08,0
DIRECTIONS,187,-0.364261,-0.228986,0.973416,0.005208,-0.229,13.5,-13.729,13.271,0
DIRECTIONS,188,-0.37541,0.632767,0.773484,0.036458,0.633,13.5,-12.867,14.133,0
DIRECTIONS,189,-0.376068,-0.488685,-0.872445,-0.005208,-0.489,11.5,-11.989,11.011,0
DIRECTIONS,190,-0.397932,0.39478,-0.918052,-0.036458,0.395,13.5,-13.105,13.895,0
DIRECTIONS,191,-0.427618,0.118362,0.989015,0.088542,0.118,12.5,-12.382,12.618,0
DIRECTIONS,192,-0.442938,-0.159125,-0.98328,-0.088542,-0.159,13.5,-13.659,13.341,0
